1,FEC ID,state,STATE ABBREVIATION,"LAST NAME,  FIRST",individual_party,GENERAL RESULTS,TOTAL VOTES #,vote_pct,is_winner,
133,P80003353,Illinois,IL,"Romney, Mitt",R,2135216,,40.73,FALSE,
134,P20002671,Illinois,IL,"Johnson, Gary",LIB,56229,,1.07,FALSE,
135,P20003984,Illinois,IL,"Stein, Jill",GRE,30222,,0.58,FALSE,
162,P80003353,Indiana,IN,"Romney, Mitt",R,1420543,,54.13,TRUE,
163,P80003338,Indiana,IN,"Obama, Barack",D,1152887,,43.93,FALSE,
164,P20002671,Indiana,IN,"Johnson, Gary",LIB,50111,,1.91,FALSE,
175,P80003338,Iowa,IA,"Obama, Barack",D,822544,,51.99,TRUE,
176,P80003353,Iowa,IA,"Romney, Mitt",R,730617,,46.18,FALSE,
177,P20002671,Iowa,IA,"Johnson, Gary",LIB,12926,,0.82,FALSE,
178,n/a,Iowa,IA,Scattered,W,7442,,0.47,FALSE,
179,P20003984,Iowa,IA,"Stein, Jill",IG,3769,,0.24,FALSE,
180,P20004685,Iowa,IA,"Goode, Virgil",CON,3038,,0.19,FALSE,
185,P80003353,Kansas,KS,"Romney, Mitt",R,692634,,59.71,TRUE,
186,P80003338,Kansas,KS,"Obama, Barack",D,440726,,37.99,FALSE,
187,P20002671,Kansas,KS,"Johnson, Gary",LIB,20456,,1.76,FALSE,
188,P80005499,Kansas,KS,"Baldwin, Chuck",REF,5017,,0.43,FALSE,
199,P80003353,Kentucky,KY,"Romney, Mitt",R,1087190,,60.49,TRUE,
200,P80003338,Kentucky,KY,"Obama, Barack",D,679370,,37.8,FALSE,
201,P20002671,Kentucky,KY,"Johnson, Gary",LIB,17063,,0.95,FALSE,
202,P20002424,Kentucky,KY,"Terry, Randall A.",IND,6872,,0.38,FALSE,
203,P20003984,Kentucky,KY,"Stein, Jill",GRE,6337,,0.35,FALSE,
213,P80003353,Louisiana,LA,"Romney, Mitt",R,1152262,,57.78,TRUE,
214,P80003338,Louisiana,LA,"Obama, Barack",D,809141,,40.58,FALSE,
215,P20002671,Louisiana,LA,"Johnson, Gary",LIB,18157,,0.91,FALSE,
216,P20003984,Louisiana,LA,"Stein, Jill",GRE,6978,,0.35,FALSE,
217,P20004685,Louisiana,LA,"Goode, Virgil",CON,2508,,0.13,FALSE,
225,P80003338,Maine,ME,"Obama, Barack",D,401306,,56.27,TRUE,
226,P80003353,Maine,ME,"Romney, Mitt",R,292276,,40.98,FALSE,
227,P20002671,Maine,ME,"Johnson, Gary E.",LIB,9352,,1.31,FALSE,
228,P20003984,Maine,ME,"Stein, Jill",GI,8119,,1.14,FALSE,
229,P80000748,Maine,ME,"Paul, Ronald E.",W,2035,,0.29,FALSE,
233,P80003338,Maryland,MD,"Obama, Barack",D,1677844,,61.97,TRUE,
234,P80003353,Maryland,MD,"Romney, Mitt",R,971869,,35.9,FALSE,
235,P20002671,Maryland,MD,"Johnson, Gary",LIB,30195,,1.12,FALSE,
236,P20003984,Maryland,MD,"Stein, Jill",GRE,17110,,0.63,FALSE,
237,n/a,Maryland,MD,Other,W,8788,,0.32,FALSE,
264,P80003338,Massachusetts,MA,"Obama, Barack",D,1921290,,60.65,TRUE,
265,P80003353,Massachusetts,MA,"Romney, Mitt",R,1188314,,37.51,FALSE,
266,P20002671,Massachusetts,MA,"Johnson, Gary",LIB,30920,,0.98,FALSE,
267,P20003984,Massachusetts,MA,"Stein, Jill",GR,20691,,0.65,FALSE,
268,n/a,Massachusetts,MA,All Others,W,6552,,0.21,FALSE,
270,P80003338,Michigan,MI,"Obama, Barack",D,2564569,,54.21,TRUE,
271,P80003353,Michigan,MI,"Romney, Mitt",R,2115256,,44.71,FALSE,
272,P20003984,Michigan,MI,"Stein, Jill",GRE,21897,,0.46,FALSE,
273,P20004685,Michigan,MI,"Goode, Virgil, Jr.",UST,16119,,0.34,FALSE,
274,P20002671,Michigan,MI,"Johnson, Gary",W,7774,,0.16,FALSE,
275,P20004263,Michigan,MI,"Anderson, Ross",NLP,5147,,0.11,FALSE,
280,P80003338,Minnesota,MN,"Obama, Barack",D,1546167,,52.65,TRUE,
281,P80003353,Minnesota,MN,"Romney, Mitt",R,1320225,,44.96,FALSE,
282,P20002671,Minnesota,MN,"Johnson, Gary",LIB,35098,,1.2,FALSE,
283,P20003984,Minnesota,MN,"Stein, Jill",GRE,13023,,0.44,FALSE,
284,n/a,Minnesota,MN,Scattered,W,10533,,0.36,FALSE,
285,P20004685,Minnesota,MN,"Goode, Virgil",CON,3722,,0.13,FALSE,
286,n/a,Minnesota,MN,"Carlson, Jim",GRT,3149,,0.11,FALSE,
298,P80003353,Mississippi,MS,"Romney, Mitt",R,710746,,55.29,TRUE,
299,P80003338,Mississippi,MS,"Obama, Barack",D,562949,,43.79,FALSE,
300,P20002671,Mississippi,MS,"Johnson, Gary",LIB,6676,,0.52,FALSE,
301,P20004685,Mississippi,MS,"Goode, Virgil",CON,2609,,0.2,FALSE,
302,P20003984,Mississippi,MS,"Stein, Jill A.",GRE,1588,,0.12,FALSE,
305,P80003353,Missouri,MO,"Romney, Mitt",R,1482440,,53.76,TRUE,
306,P80003338,Missouri,MO,"Obama, Barack",D,1223796,,44.38,FALSE,
307,P20002671,Missouri,MO,"Johnson, Gary",LIB,43151,,1.56,FALSE,
308,P20004685,Missouri,MO,"Goode, Virgil",CON,7936,,0.29,FALSE,
310,P80003353,Montana,MT,"Romney, Mitt",R,267928,,55.35,TRUE,
311,P80003338,Montana,MT,"Obama, Barack",D,201839,,41.7,FALSE,
312,P20002671,Montana,MT,"Johnson, Gary",LIB,14165,,2.93,FALSE,
321,P80003353,Nebraska,NE,"Romney, Mitt",R,475064,,59.8,TRUE,
322,P80003338,Nebraska,NE,"Obama, Barack",D,302081,,38.03,FALSE,
323,P20002671,Nebraska,NE,"Johnson, Gary",LIB,11109,,1.4,FALSE,
324,n/a,Nebraska,NE,Scattered,W,3717,,0.47,FALSE,
325,P20002424,Nebraska,NE,"Terry, Randall A.",BP,2408,,0.3,FALSE,
327,P80003338,Nevada,NV,"Obama, Barack",D,531373,,52.36,TRUE,
328,P80003353,Nevada,NV,"Romney, Mitt",R,463567,,45.68,FALSE,
329,P20002671,Nevada,NV,"Johnson, Gary",LIB,10968,,1.08,FALSE,
330,n/a,Nevada,NV,None of These Candidates,,5770,,0.57,FALSE,
331,P20004685,Nevada,NV,"Goode, Virgil",IAP,3240,,0.32,FALSE,
333,P80003338,New Hampshire,NH,"Obama, Barack",D,369561,,51.98,TRUE,
334,P80003353,New Hampshire,NH,"Romney, Mitt",R,329918,,46.4,FALSE,
335,P20002671,New Hampshire,NH,"Johnson, Gary",LIB,8212,,1.16,FALSE,
336,P80000748,New Hampshire,NH,"Paul, Ron",W,1374,,0.19,FALSE,
337,n/a,New Hampshire,NH,Scattered,W,875,,0.12,FALSE,
338,P20004685,New Hampshire,NH,"Goode, Virgil",CON,708,,0.1,FALSE,
341,P80003338,New Jersey,NJ,"Obama, Barack",D,2125101,,58.38,TRUE,
342,P80003353,New Jersey,NJ,"Romney, Mitt",R,1477568,,40.59,FALSE,
343,P20002671,New Jersey,NJ,"Johnson, Gary",LIB,21045,,0.58,FALSE,
344,P20003984,New Jersey,NJ,"Stein, Jill",GRE,9888,,0.27,FALSE,
352,P80003338,New Mexico,NM,"Obama, Barack",D,415335,,52.99,TRUE,
353,P80003353,New Mexico,NM,"Romney, Mitt",R,335788,,42.84,FALSE,
354,P20002671,New Mexico,NM,"Johnson, Gary",LIB,27788,,3.55,FALSE,
355,P20003984,New Mexico,NM,"Stein, Jill",GRE,2691,,0.34,FALSE,
356,P20004263,New Mexico,NM,"Anderson, Ross C. ""Rocky""",NMI,1174,,0.15,FALSE,
357,P20004685,New Mexico,NM,"Goode, Virgil",CON,982,,0.13,FALSE,
359,P80003338,New York,NY,"Obama, Barack",D,4485741,,63.35,TRUE,
362,P80003353,New York,NY,"Romney, Mitt",R,2490431,,35.17,FALSE,
365,P20002671,New York,NY,"Johnson, Gary",LIB,47256,,0.67,FALSE,
